type, size, range, name, total_value, total_weight, running_time, isOptimalSolution
04AlmostStronglyCorrelated, n00200, R01000, s089.kp, 63650, 49527, 0.03432416915893555, True
04AlmostStronglyCorrelated, n00200, R01000, s017.kp, 64928, 51029, 0.7776925563812256, True
04AlmostStronglyCorrelated, n00200, R10000, s089.kp, 635994, 494811, 0.14635467529296875, True
04AlmostStronglyCorrelated, n00200, R10000, s017.kp, 648850, 509848, 3.6376001834869385, True
04AlmostStronglyCorrelated, n10000, R01000, s089.kp, 3180114, 2475166, 29.710958242416382, False
04AlmostStronglyCorrelated, n10000, R01000, s017.kp, 3173001, 2469901, 29.401891946792603, False
04AlmostStronglyCorrelated, n10000, R10000, s089.kp, 31774942, 24725069, 29.502809286117554, False
04AlmostStronglyCorrelated, n10000, R10000, s017.kp, 31710728, 24678021, 0.01477360725402832, True
04AlmostStronglyCorrelated, n00500, R01000, s089.kp, 160529, 125430, 29.99851703643799, False
04AlmostStronglyCorrelated, n00500, R01000, s017.kp, 156217, 120681, 29.44801640510559, False
04AlmostStronglyCorrelated, n00500, R10000, s089.kp, 1604253, 1253201, 29.53042769432068, False
04AlmostStronglyCorrelated, n00500, R10000, s017.kp, 1560960, 1205714, 29.3976628780365, False
04AlmostStronglyCorrelated, n05000, R01000, s089.kp, 1589318, 1237047, 6.835296392440796, True
04AlmostStronglyCorrelated, n05000, R01000, s017.kp, 1593223, 1243024, 29.66682529449463, False
04AlmostStronglyCorrelated, n05000, R10000, s089.kp, 15877191, 12354649, 29.7536404132843, False
04AlmostStronglyCorrelated, n05000, R10000, s017.kp, 15922383, 12419788, 29.720725536346436, False
04AlmostStronglyCorrelated, n00100, R01000, s089.kp, 32101, 24988, 0.6182065010070801, True
04AlmostStronglyCorrelated, n00100, R01000, s017.kp, 33521, 26615, 1.488173007965088, True
04AlmostStronglyCorrelated, n00100, R10000, s089.kp, 320721, 249644, 2.070746898651123, True
04AlmostStronglyCorrelated, n00100, R10000, s017.kp, 334994, 265939, 7.18461537361145, True
04AlmostStronglyCorrelated, n02000, R01000, s089.kp, 634219, 492957, 29.89431858062744, False
04AlmostStronglyCorrelated, n02000, R01000, s017.kp, 637974, 497240, 29.77583885192871, False
04AlmostStronglyCorrelated, n02000, R10000, s089.kp, 6337730, 4925064, 29.507920026779175, False
04AlmostStronglyCorrelated, n02000, R10000, s017.kp, 6372482, 4965280, 29.43578553199768, False
04AlmostStronglyCorrelated, n00050, R01000, s089.kp, 16709, 13208, 0.0003039836883544922, True
04AlmostStronglyCorrelated, n00050, R01000, s017.kp, 17479, 14070, 0.0010976791381835938, True
04AlmostStronglyCorrelated, n00050, R10000, s089.kp, 166973, 131954, 0.00032520294189453125, True
04AlmostStronglyCorrelated, n00050, R10000, s017.kp, 174676, 140598, 0.0018928050994873047, True
04AlmostStronglyCorrelated, n01000, R01000, s089.kp, 318449, 247948, 29.997201204299927, False
04AlmostStronglyCorrelated, n01000, R01000, s017.kp, 315521, 244792, 29.35688042640686, False
04AlmostStronglyCorrelated, n01000, R10000, s089.kp, 3181797, 2476813, 29.374587059020996, False
04AlmostStronglyCorrelated, n01000, R10000, s017.kp, 3154093, 2446984, 29.483115673065186, False
12Circle, n00200, R01000, s089.kp, 1043581, 49527, 0.12583088874816895, True
12Circle, n00200, R01000, s017.kp, 1075229, 51029, 0.06119346618652344, True
12Circle, n00200, R10000, s089.kp, 32985928, 494814, 1.1623847484588623, True
12Circle, n00200, R10000, s017.kp, 33988279, 509850, 29.90471076965332, False
12Circle, n10000, R01000, s089.kp, 52154349, 2475179, 27.98426842689514, True
12Circle, n10000, R01000, s017.kp, 52046402, 2470057, 29.47561526298523, False
12Circle, n10000, R10000, s089.kp, 1648577961, 24729920, 29.673264265060425, False
12Circle, n10000, R10000, s017.kp, 1645118204, 24678021, 29.586241483688354, False
12Circle, n00500, R01000, s089.kp, 2642927, 125430, 29.861379623413086, False
12Circle, n00500, R01000, s017.kp, 2542862, 120681, 28.374432802200317, True
12Circle, n00500, R10000, s089.kp, 83542774, 1253205, 28.622199296951294, True
12Circle, n00500, R10000, s017.kp, 80376862, 1205714, 28.645253896713257, True
12Circle, n05000, R01000, s089.kp, 26065737, 1237047, 28.507450819015503, True
12Circle, n05000, R01000, s017.kp, 26198391, 1243343, 29.81762671470642, False
12Circle, n05000, R10000, s089.kp, 823931403, 12359596, 29.68189787864685, False
12Circle, n05000, R10000, s017.kp, 828104584, 12422197, 29.640149116516113, False
12Circle, n00100, R01000, s089.kp, 526521, 24988, 16.01431632041931, True
12Circle, n00100, R01000, s017.kp, 560803, 26615, 29.39009118080139, False
12Circle, n00100, R10000, s089.kp, 16642622, 249652, 12.795906782150269, True
12Circle, n00100, R10000, s017.kp, 17728703, 265944, 1.2289412021636963, True
12Circle, n02000, R01000, s089.kp, 10387061, 492957, 0.0023610591888427734, True
12Circle, n02000, R01000, s017.kp, 10481189, 497424, 29.995161056518555, False
12Circle, n02000, R10000, s089.kp, 328332524, 4925237, 29.4623761177063, False
12Circle, n02000, R10000, s017.kp, 331301437, 4969773, 29.668145179748535, False
12Circle, n00050, R01000, s089.kp, 278305, 13208, 0.7652566432952881, True
12Circle, n00050, R01000, s017.kp, 296489, 14071, 0.9904351234436035, True
12Circle, n00050, R10000, s089.kp, 8797486, 131969, 0.21903038024902344, True
12Circle, n00050, R10000, s017.kp, 9372992, 140602, 0.15384292602539062, True
12Circle, n01000, R01000, s089.kp, 5224498, 247948, 29.985651969909668, False
12Circle, n01000, R01000, s017.kp, 5165287, 245138, 28.207196712493896, True
12Circle, n01000, R10000, s089.kp, 165147517, 2477338, 29.277903079986572, False
12Circle, n01000, R10000, s017.kp, 163269936, 2449173, 29.3619167804718, False
00Uncorrelated, n00200, R01000, s089.kp, 80555, 51097, 1.3113021850585938e-05, True
00Uncorrelated, n00200, R01000, s017.kp, 83156, 47781, 8.106231689453125e-06, True
00Uncorrelated, n00200, R10000, s089.kp, 804990, 510421, 5.245208740234375e-06, True
00Uncorrelated, n00200, R10000, s017.kp, 830970, 477181, 4.315376281738281e-05, True
00Uncorrelated, n10000, R01000, s089.kp, 4049025, 2474102, 0.00037026405334472656, True
00Uncorrelated, n10000, R01000, s017.kp, 4032422, 2469230, 0.012680530548095703, True
00Uncorrelated, n10000, R10000, s089.kp, 40467150, 24718848, 0.004785299301147461, True
00Uncorrelated, n10000, R10000, s017.kp, 40300050, 24670348, 0.0008831024169921875, True
00Uncorrelated, n00500, R01000, s089.kp, 205159, 122517, 3.910064697265625e-05, True
00Uncorrelated, n00500, R01000, s017.kp, 197873, 124445, 0.0002856254577636719, True
00Uncorrelated, n00500, R10000, s089.kp, 2050450, 1224048, 6.008148193359375e-05, True
00Uncorrelated, n00500, R10000, s017.kp, 1977628, 1243406, 0.0003046989440917969, True
00Uncorrelated, n05000, R01000, s089.kp, 2022297, 1238131, 0.0008060932159423828, True
00Uncorrelated, n05000, R01000, s017.kp, 2020478, 1226713, 0.003843545913696289, True
00Uncorrelated, n05000, R10000, s089.kp, 20211524, 12370320, 0.0004611015319824219, True
00Uncorrelated, n05000, R10000, s017.kp, 20192624, 12255824, 0.0018503665924072266, True
00Uncorrelated, n00100, R01000, s089.kp, 41562, 24536, 6.67572021484375e-06, True
00Uncorrelated, n00100, R01000, s017.kp, 43703, 24374, 4.5299530029296875e-06, True
00Uncorrelated, n00100, R10000, s089.kp, 415339, 245080, 3.5762786865234375e-06, True
00Uncorrelated, n00100, R10000, s017.kp, 436863, 243850, 5.4836273193359375e-06, True
00Uncorrelated, n02000, R01000, s089.kp, 808000, 497774, 1.6927719116210938e-05, True
00Uncorrelated, n02000, R01000, s017.kp, 807210, 495607, 0.0003218650817871094, True
00Uncorrelated, n02000, R10000, s089.kp, 8075481, 4973419, 0.0037086009979248047, True
00Uncorrelated, n02000, R10000, s017.kp, 8067384, 4951511, 0.001234292984008789, True
00Uncorrelated, n00050, R01000, s089.kp, 22773, 11660, 1.5974044799804688e-05, True
00Uncorrelated, n00050, R01000, s017.kp, 22989, 12530, 2.384185791015625e-06, True
00Uncorrelated, n00050, R10000, s089.kp, 227570, 116461, 1.3589859008789062e-05, True
00Uncorrelated, n00050, R10000, s017.kp, 229750, 125176, 2.1457672119140625e-06, True
00Uncorrelated, n01000, R01000, s089.kp, 409464, 245002, 0.0005421638488769531, True
00Uncorrelated, n01000, R01000, s017.kp, 398503, 252286, 0.0003452301025390625, True
00Uncorrelated, n01000, R10000, s089.kp, 4092529, 2447884, 0.0002892017364501953, True
00Uncorrelated, n01000, R10000, s017.kp, 3982790, 2520561, 0.00013756752014160156, True
11ProfitCeiling, n00200, R01000, s089.kp, 49506, 49527, 0.11936283111572266, True
11ProfitCeiling, n00200, R01000, s017.kp, 51009, 51028, 28.115957260131836, True
11ProfitCeiling, n00200, R10000, s089.kp, 494796, 494814, 12.472166299819946, True
11ProfitCeiling, n00200, R10000, s017.kp, 509829, 509849, 29.31360387802124, False
11ProfitCeiling, n10000, R01000, s089.kp, 2474226, 2475179, 28.50933313369751, True
11ProfitCeiling, n10000, R01000, s017.kp, 2469147, 2470057, 29.733785390853882, False
11ProfitCeiling, n10000, R10000, s089.kp, 24728979, 24729918, 29.76610541343689, False
11ProfitCeiling, n10000, R10000, s017.kp, 24677049, 24678021, 29.77725076675415, False
11ProfitCeiling, n00500, R01000, s089.kp, 125382, 125428, 29.91124153137207, False
11ProfitCeiling, n00500, R01000, s017.kp, 120642, 120680, 28.762678146362305, True
11ProfitCeiling, n00500, R10000, s089.kp, 1253175, 1253204, 28.925038814544678, True
11ProfitCeiling, n00500, R10000, s017.kp, 1205667, 1205713, 28.91553783416748, True
11ProfitCeiling, n05000, R01000, s089.kp, 1236558, 1237047, 28.999765396118164, True
11ProfitCeiling, n05000, R01000, s017.kp, 1242879, 1243343, 29.821582794189453, False
