Average Score, Win count,Time,,,,,,,,,,
-472.6, 0/5 (0.00),3.208019733,,,,,,,,,, 
-472.6, 0/5 (0.00),3.078659296,,,,,,,,,,
26.8, 1/5 (0.20),6.302074432,,,,,,,,,,
1445, 3/5 (0.60),21.01285625,,,,,,,,,,
1445, 3/5 (0.60),18.78514075,,,,,,,,,,
1402.8, 4/5 (0.80),20.53814483,,,,,,,,,,
1196.8, 4/5 (0.80),26.02984595,,,,,,,,,,
1196.8, 4/5 (0.80),23.5710628,,,,,,,,,,
1553.8, 5/5 (1.00),22.53295588,,,,,,,,,,
112, 3/5 (0.60),0.143581152,,,,,,,,,,
112, 3/5 (0.60),0.137425423,,,,,,,,,,
313.4, 4/5 (0.80),0.156194448,,,,,,,,,,
118.4, 3/5 (0.60),0.053678036,,,,,,,,,,
118.4, 3/5 (0.60),0.054445028,,,,,,,,,,
118.4, 3/5 (0.60),0.055846214,,,,,,,,,,
-348.2, 0/5 (0.00),4.110933065,,,,,,,,,,
-348.2, 0/5 (0.00),3.944522142,,,,,,,,,,
-354.2, 0/5 (0.00),4.48808527,,,,,,,,,,
8.8, 0/5 (0.00),9.824563742,,,,,,,,,,
8.8, 0/5 (0.00),9.134350061,,,,,,,,,,
397.2, 1/5 (0.20),18.23340917,,,,,,,,,,
-66.6, 1/5 (0.20),31.83586955,,,,,,,,,,
-66.6, 1/5 (0.20),30.39057946,,,,,,,,,,
-388.2, 2/5 (0.40),58.60023093,,,,,,,,,,
-92.8, 2/5 (0.40),0.20980978,,,,,,,,,,
-92.8, 2/5 (0.40),0.189865589,,,,,,,,,,
108.6, 3/5 (0.60),0.224686384,,,,,,,,,,
118.4, 3/5 (0.60),0.053995609,,,,,,,,,,
118.4, 3/5 (0.60),0.053776503,,,,,,,,,,
118.4, 3/5 (0.60),0.054997683,,,,,,,,,,
-307.8, 0/5 (0.00),2.547104836,,,,,,,,,,
-307.8, 0/5 (0.00),2.406948328,,,,,,,,,,
-286.2, 0/5 (0.00),2.395411968,,,,,,,,,,
42.4, 0/5 (0.00),13.76400518,,,,,,,,,,
42.4, 0/5 (0.00),11.84796548,,,,,,,,,,
1.2, 0/5 (0.00),13.06993222,,,,,,,,,,
441.6, 1/5 (0.20),14.80106211,,,,,,,,,,
441.6, 1/5 (0.20),13.03538513,,,,,,,,,,
689.8, 2/5 (0.40),14.16438317,,,,,,,,,,
-492, 0/5 (0.00),0.113574266,,,,,,,,,,
-492, 0/5 (0.00),0.077950478,,,,,,,,,,
-291.2, 1/5 (0.20),0.09325552,,,,,,,,,,
-295.2, 1/5 (0.20),0.046532631,,,,,,,,,,
-295.2, 1/5 (0.20),0.039288759,,,,,,,,,,
-295.2, 1/5 (0.20),0.036640644,,,,,,,,,,
-420.4, 0/5 (0.00),0.884491444,,,,,,,,,,
-420.4, 0/5 (0.00),0.821069479,,,,,,,,,,
-420.4, 0/5 (0.00),0.887578726,,,,,,,,,,
-258, 0/5 (0.00),2.89121604,,,,,,,,,,
-258, 0/5 (0.00),2.47976613,,,,,,,,,,
-260.4, 0/5 (0.00),2.914430618,,,,,,,,,,
465.4, 0/5 (0.00),5.032217979,,,,,,,,,,
465.4, 0/5 (0.00),4.762619734,,,,,,,,,,
465.2, 0/5 (0.00),5.18622303,,,,,,,,,,
-492, 0/5 (0.00),0.072729111,,,,,,,,,,
-492, 0/5 (0.00),0.06844449,,,,,,,,,,
-291.2, 1/5 (0.20),0.087553978,,,,,,,,,,
-295.2, 1/5 (0.20),0.03400135,,,,,,,,,,
-295.2, 1/5 (0.20),0.032836676,,,,,,,,,,
-295.2, 1/5 (0.20),0.035588503,,,,,,,,,,
