Epm_nEng_100ms,VehV_v_100ms,ActMod_trqInr_100ms,RngMod_trqCrSmin_100ms,CoVeh_trqAcs_100ms,Clth_st_100ms,CoEng_st_100ms,Com_rTSC1VRVCURtdrTq_100ms,Com_rTSC1VRRDTrqReq_100ms,RoadSlope_100ms,Vehicle_Mass
902.5,67.72,1971.936,-140.0,9.999747,0,3,0,0,1.5,38.0
1241.0,63.87,2604.0,-196.0,9.999747,0,3,0,0,1.7,38.0
903.0,67.28,2208.07,-140.0,9.999747,0,3,0,0,1.3,38.0
934.5,68.34,0.0,-140.0,9.999747,0,3,0,0,-2.7,49.0
969.0,61.28,392.5794,-112.0,9.999747,0,3,0,0,2.3,49.0
1198.5,42.41,2607.5,-112.0,9.999747,0,3,0,0,4.2,49.0
903.5,67.5,1092.995,-168.0,9.999747,0,3,0,0,-0.2,38.0
1173.0,41.93,2632.0,-112.0,9.999747,0,3,0,0,4.8,49.0
1237.5,76.83,0.0,-196.0,9.999747,0,3,0,0,-0.6,38.0
912.5,68.04,1637.572,-140.0,9.999747,0,3,0,0,0.6,38.0
1336.5,47.12,2635.5,-140.0,9.999747,0,3,0,0,3.1,49.0
901.5,66.84,1236.544,-140.0,9.999747,0,3,0,0,-0.2,38.0
1014.5,52.15,657.6476,-140.0,9.999747,0,3,0,0,0.0,49.0
1275.0,78.55,0.0,-196.0,9.999747,0,3,0,0,-2.5,38.0
1097.5,47.43,2635.5,-112.0,9.999747,0,3,0,0,4.2,49.0
1022.0,53.08,1522.296,-133.2038,9.999747,0,3,0,0,1.7,49.0
987.0,64.73,389.8023,-140.0,9.999747,0,3,0,0,3.8,49.0
1266.5,79.22,0.0,-196.0,9.999747,0,3,0,0,-3.1,38.0
1157.5,71.73,1879.5,-168.0,9.999747,0,3,0,0,1.5,38.0
1145.0,70.87,2019.5,-168.0,9.999747,0,3,0,0,1.9,38.0
1168.0,59.59,648.5059,-140.0,9.999747,0,3,0,0,-1.5,49.0
1270.0,78.14,0.0,-196.0,9.999747,0,3,0,0,-2.7,38.0
1159.0,71.67,1683.5,-168.0,9.999747,0,3,0,0,1.5,38.0
1093.5,46.99,1765.341,-140.0,9.999747,0,3,0,0,2.1,49.0
942.5,70.07,1179.5,-168.0,9.999747,0,3,0,0,0.4,38.0
1335.0,39.49,1271.976,-168.0,9.999747,0,3,0,0,4.8,49.0
1165.5,49.57,2632.0,-112.0,9.999747,0,3,0,0,3.1,49.0
1256.0,44.4,2632.0,-140.0,9.999747,0,3,0,0,4.2,49.0
898.5,66.54,143.5,-168.0,9.999747,0,3,0,0,-1.5,38.0
1161.0,71.67,1907.5,-168.0,9.999747,0,3,0,0,1.5,38.0
1011.0,52.48,1487.5,-140.0,9.999747,0,3,0,0,1.7,49.0
900.0,66.7,479.5,-168.0,9.999747,0,3,0,0,-0.6,38.0
1193.0,62.1,2607.5,-168.0,9.999747,0,3,0,0,3.1,38.0
1166.5,72.25,1935.5,-168.0,9.999747,0,3,0,0,1.3,38.0
1207.0,74.54,0.0,-196.0,9.999747,0,3,0,0,-1.9,38.0
1249.5,44.24,2632.0,-140.0,9.999747,0,3,0,0,4.8,49.0
1301.0,55.15,2632.0,-140.0,9.999747,0,3,0,0,2.1,49.0
1143.5,70.7,2355.5,-168.0,9.999747,0,3,0,0,2.3,38.0
1351.0,56.56,686.2341,-219.014,9.999747,0,3,0,0,2.1,38.0
1189.5,72.78,2579.5,-168.0,9.999747,0,3,0,0,0.8,38.0
932.5,69.4,1571.5,-168.0,9.999747,0,3,0,0,0.4,38.0
845.0,76.23,0.0,-140.0,9.999747,0,3,0,0,-0.2,38.0
1139.0,70.42,2439.5,-168.0,9.999747,0,3,0,0,2.3,38.0
1383.0,48.76,2663.5,-140.0,9.999747,0,3,0,0,3.1,49.0
1038.5,53.3,518.9429,-140.0,9.999747,0,3,0,0,-2.1,49.0
1340.5,82.61,0.2898981,-198.3192,9.999747,0,3,0,0,-2.7,38.0
1150.5,71.21,1798.833,-168.0,9.999747,0,3,0,0,1.7,38.0
926.0,61.74,423.5,-168.0,9.999747,0,3,0,0,1.5,38.0
1256.5,77.43,0.0,-196.0,9.999747,0,3,0,0,-2.1,38.0
