,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0,-122.23,37.88,41.0,,129.0,,,8.3252,452600.0
1,,37.86,21.0,7099.0,1106.0,,,8.3014,358500.0
2,-122.24,37.85,,,190.0,,,7.2574,352100.0
3,-122.25,37.85,,,235.0,,,5.6431,341300.0
4,-122.25,,52.0,,280.0,565.0,259.0,3.8462,342200.0
5,-122.25,37.85,,,213.0,,,4.0368,269700.0
6,-122.25,37.84,,2535.0,489.0,,514.0,3.6591,
7,-122.25,37.84,52.0,3104.0,687.0,,647.0,3.12,
8,,,,2555.0,665.0,,595.0,2.0804,
9,-122.25,37.84,52.0,3549.0,707.0,,,3.6912,261100.0
10,-122.26,,,,434.0,,,,281500.0
11,-122.26,37.85,52.0,,752.0,,,3.2705,241800.0
12,,,52.0,,474.0,1098.0,468.0,3.075,213500.0
13,-122.26,37.84,52.0,,191.0,345.0,,2.6736,191300.0
14,-122.26,37.85,,,626.0,1212.0,,1.9167,
15,,,50.0,,283.0,,264.0,2.125,140000.0
16,,37.85,52.0,,347.0,793.0,,2.775,152500.0
17,-122.27,37.85,52.0,,293.0,,,2.1202,155500.0
18,-122.26,37.84,50.0,,455.0,,419.0,1.9911,158700.0
19,-122.27,37.84,52.0,,298.0,690.0,,2.6033,
20,-122.27,37.85,,,184.0,409.0,166.0,1.3578,147500.0
21,-122.27,37.85,,,367.0,929.0,,1.7135,159800.0
22,-122.27,37.84,52.0,,541.0,,,1.725,113900.0
23,-122.27,,52.0,1688.0,337.0,,,2.1806,
24,-122.27,37.84,52.0,,437.0,1006.0,,,
25,-122.28,37.85,41.0,,123.0,,,,107500.0
26,-122.28,37.85,49.0,,244.0,607.0,,2.4597,
27,-122.28,37.85,52.0,1898.0,421.0,,397.0,1.808,105500.0
28,,,50.0,,492.0,,473.0,1.6424,
29,-122.28,37.84,52.0,729.0,160.0,,,1.6875,132000.0
30,,37.84,,,447.0,,378.0,1.9274,
31,-122.28,37.84,52.0,2153.0,481.0,,,1.9615,115200.0
32,-122.27,,,,409.0,1026.0,335.0,1.7969,110400.0
33,-122.27,,,,366.0,,329.0,1.375,104900.0
34,-122.27,37.83,,2665.0,574.0,,536.0,2.7303,
35,-122.27,,49.0,1215.0,282.0,,,1.4861,97200.0
36,-122.27,37.83,48.0,,432.0,987.0,,1.0972,
37,-122.28,37.83,,1511.0,390.0,,403.0,1.4103,103900.0
38,,37.83,52.0,,330.0,,309.0,3.48,
39,-122.26,,52.0,2432.0,715.0,1377.0,,2.5898,176000.0
40,-122.26,37.83,52.0,,419.0,,,2.0978,155400.0
41,-122.26,37.83,51.0,,311.0,,,1.2852,150000.0
42,,37.84,49.0,,202.0,,189.0,1.025,118800.0
43,-122.26,37.84,52.0,950.0,,,,3.9643,188800.0
44,-122.26,,,1443.0,311.0,660.0,292.0,3.0125,184400.0
45,,,52.0,1656.0,420.0,718.0,382.0,2.6768,182300.0
46,-122.26,37.83,,1125.0,322.0,,,,
47,,37.82,,1007.0,312.0,,,1.7348,
48,,37.82,40.0,,195.0,,,0.9506,187500.0
49,-122.27,37.82,,,375.0,,352.0,1.775,112500.0
